# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Train:         36    0.96427       3719        839         33         99      0.106      0.750      0.814      0.783      0.856 
All:         36    0.96427       4648       1050         42        123      0.105      0.745      0.814      0.781      0.854 
Test:         37    0.94817        936        204          9         24      0.105      0.727      0.818      0.774      0.845 
Train:         37    0.94817       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
All:         37    0.94817       4648       1050         42        123      0.105      0.745      0.814      0.781      0.854 
Test:         38    0.93642        937        203         10         23      0.102      0.697      0.818      0.759      0.844 
Train:         38    0.93642       3720        838         32        100      0.107      0.758      0.814      0.787      0.857 
All:         38    0.93642       4648       1050         42        123      0.105      0.745      0.814      0.781      0.855 
Test:         39    0.96122        937        203         10         23      0.102      0.697      0.818      0.759      0.843 
Train:         39    0.96122       3718        840         34         98      0.104      0.742      0.814      0.779      0.857 
All:         39    0.96122       4646       1052         44        121      0.103      0.733      0.813      0.774      0.854 
Test:         40    0.95292        940        200         10         23      0.103      0.697      0.821      0.761      0.843 
Train:         40    0.95292       3719        839         33         99      0.106      0.750      0.814      0.783      0.858 
All:         40    0.95292       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
Test:         41    0.96069        935        205         10         23      0.101      0.697      0.817      0.759      0.843 
Train:         41    0.96069       3719        839         33         99      0.106      0.750      0.814      0.783      0.858 
All:         41    0.96069       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
Test:         42     0.9474        935        205         10         23      0.101      0.697      0.817      0.759      0.843 
Train:         42     0.9474       3719        839         33         99      0.106      0.750      0.814      0.783      0.859 
All:         42     0.9474       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
Test:         43    0.94761        935        205          9         24      0.105      0.727      0.818      0.774      0.844 
Train:         43    0.94761       3719        839         33         99      0.106      0.750      0.814      0.783      0.860 
All:         43    0.94761       4648       1050         42        123      0.105      0.745      0.814      0.781      0.857 
Test:         44    0.94681        940        200          9         24      0.107      0.727      0.822      0.776      0.844 
Train:         44    0.94681       3719        839         33         99      0.106      0.750      0.814      0.783      0.861 
All:         44    0.94681       4648       1050         42        123      0.105      0.745      0.814      0.781      0.858 
Test:         45    0.92098        943        197          9         24      0.109      0.727      0.824      0.777      0.846 
Train:         45    0.92098       3720        838         32        100      0.107      0.758      0.814      0.787      0.862 
All:         45    0.92098       4649       1049         41        124      0.106      0.752      0.814      0.784      0.859 
Test:         46    0.98506        939        201          9         24      0.107      0.727      0.821      0.775      0.848 
Train:         46    0.98506       3720        838         32        100      0.107      0.758      0.814      0.787      0.862 
All:         46    0.98506       4649       1049         41        124      0.106      0.752      0.814      0.784      0.859 
Test:         47    0.95456        932        208          9         24      0.103      0.727      0.815      0.772      0.848 
Train:         47    0.95456       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         47    0.95456       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         48    0.91973        934        206          9         24      0.104      0.727      0.817      0.773      0.849 
Train:         48    0.91973       3719        839         33         99      0.106      0.750      0.814      0.783      0.863 
All:         48    0.91973       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
Test:         49    0.95833        944        196          9         24      0.109      0.727      0.825      0.778      0.849 
Train:         49    0.95833       3719        839         33         99      0.106      0.750      0.814      0.783      0.864 
All:         49    0.95833       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
Test:         50    0.96736        940        200          9         24      0.107      0.727      0.822      0.776      0.850 
Train:         50    0.96736       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
All:         50    0.96736       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:         51    0.93121        939        201          9         24      0.107      0.727      0.821      0.775      0.850 
Train:         51    0.93121       3719        839         33         99      0.106      0.750      0.814      0.783      0.863 
All:         51    0.93121       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
Test:         52    0.95319        939        201          9         24      0.107      0.727      0.821      0.775      0.849 
Train:         52    0.95319       3719        839         33         99      0.106      0.750      0.814      0.783      0.863 
All:         52    0.95319       4649       1049         41        124      0.106      0.752      0.814      0.784      0.860 
Test:         53    0.94113        944        196          9         24      0.109      0.727      0.825      0.778      0.848 
Train:         53    0.94113       3720        838         32        100      0.107      0.758      0.814      0.787      0.864 
All:         53    0.94113       4650       1048         40        125      0.107      0.758      0.814      0.787      0.861 
Test:         54    0.90381        942        198          9         24      0.108      0.727      0.824      0.777      0.845 
Train:         54    0.90381       3721        837         31        101      0.108      0.765      0.815      0.791      0.865 
All:         54    0.90381       4650       1048         40        125      0.107      0.758      0.814      0.787      0.861 
Test:         55      0.923        941        199         10         23      0.104      0.697      0.822      0.761      0.845 
Train:         55      0.923       3720        838         32        100      0.107      0.758      0.814      0.787      0.865 
All:         55      0.923       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
Test:         56    0.94397        934        206          9         24      0.104      0.727      0.817      0.773      0.846 
Train:         56    0.94397       3718        840         34         98      0.104      0.742      0.814      0.779      0.865 
All:         56    0.94397       4647       1051         43        122      0.104      0.739      0.813      0.777      0.861 
Test:         57       0.91        938        202          9         24      0.106      0.727      0.820      0.775      0.847 
Train:         57       0.91       3719        839         33         99      0.106      0.750      0.814      0.783      0.865 
All:         57       0.91       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:         58    0.92362        937        203          9         24      0.106      0.727      0.819      0.775      0.850 
Train:         58    0.92362       3719        839         33         99      0.106      0.750      0.814      0.783      0.866 
All:         58    0.92362       4649       1049         41        124      0.106      0.752      0.814      0.784      0.863 
Test:         59    0.93807        942        198          9         24      0.108      0.727      0.824      0.777      0.852 
Train:         59    0.93807       3720        838         32        100      0.107      0.758      0.814      0.787      0.866 
All:         59    0.93807       4649       1049         41        124      0.106      0.752      0.814      0.784      0.864 
Test:         60    0.93055        939        201          9         24      0.107      0.727      0.821      0.775      0.853 
Train:         60    0.93055       3719        839         33         99      0.106      0.750      0.814      0.783      0.867 
All:         60    0.93055       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
Test:         61    0.92752        939        201          9         24      0.107      0.727      0.821      0.775      0.853 
Train:         61    0.92752       3719        839         33         99      0.106      0.750      0.814      0.783      0.867 
All:         61    0.92752       4648       1050         42        123      0.105      0.745      0.814      0.781      0.865 
Test:         62    0.92781        938        202          9         24      0.106      0.727      0.820      0.775      0.851 
Train:         62    0.92781       3721        837         31        101      0.108      0.765      0.815      0.791      0.868 
All:         62    0.92781       4650       1048         40        125      0.107      0.758      0.814      0.787      0.864 
Test:         63    0.91698        930        210          9         24      0.103      0.727      0.813      0.772      0.847 
Train:         63    0.91698       3720        838         32        100      0.107      0.758      0.814      0.787      0.868 
All:         63    0.91698       4649       1049         41        124      0.106      0.752      0.814      0.784      0.864 
Test:         64    0.89967        931        209         10         23      0.099      0.697      0.813      0.757      0.845 
Train:         64    0.89967       3720        838         32        100      0.107      0.758      0.814      0.787      0.869 
All:         64    0.89967       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
Test:         65    0.92761        928        212         10         23      0.098      0.697      0.811      0.756      0.842 
Train:         65    0.92761       3721        837         31        101      0.108      0.765      0.815      0.791      0.869 
All:         65    0.92761       4649       1049         41        124      0.106      0.752      0.814      0.784      0.863 
Test:         66    0.90194        933        207         10         23      0.100      0.697      0.815      0.758      0.843 
Train:         66    0.90194       3720        838         32        100      0.107      0.758      0.814      0.787      0.869 
All:         66    0.90194       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
Test:         67    0.94948        934        206         10         23      0.100      0.697      0.816      0.758      0.845 
Train:         67    0.94948       3719        839         33         99      0.106      0.750      0.814      0.783      0.869 
All:         67    0.94948       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
Test:         68    0.92689        936        204         10         23      0.101      0.697      0.818      0.759      0.846 
Train:         68    0.92689       3719        839         33         99      0.106      0.750      0.814      0.783      0.870 
All:         68    0.92689       4648       1050         42        123      0.105      0.745      0.814      0.781      0.865 
Test:         69    0.93574        934        206          9         24      0.104      0.727      0.817      0.773      0.848 
Train:         69    0.93574       3720        838         32        100      0.107      0.758      0.814      0.787      0.870 
All:         69    0.93574       4649       1049         41        124      0.106      0.752      0.814      0.784      0.866 
Test:         70    0.94439        936        204          9         24      0.105      0.727      0.818      0.774      0.847 
Train:         70    0.94439       3720        838         32        100      0.107      0.758      0.814      0.787      0.870 
All:         70    0.94439       4649       1049         41        124      0.106      0.752      0.814      0.784      0.866 
Test:         71    0.90205        940        200          9         24      0.107      0.727      0.822      0.776      0.847 
Train:         71    0.90205       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         71    0.90205       4650       1048         40        125      0.107      0.758      0.814      0.787      0.866 
Test:         72    0.91851        934        206         10         23      0.100      0.697      0.816      0.758      0.845 
Train:         72    0.91851       3720        838         32        100      0.107      0.758      0.814      0.787      0.871 
All:         72    0.91851       4648       1050         42        123      0.105      0.745      0.814      0.781      0.866 
Test:         73    0.90829        930        210         10         23      0.099      0.697      0.812      0.756      0.844 
Train:         73    0.90829       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
All:         73    0.90829       4647       1051         43        122      0.104      0.739      0.813      0.777      0.866 
Test:         74    0.92505        930        210         10         23      0.099      0.697      0.812      0.756      0.843 
Train:         74    0.92505       3720        838         32        100      0.107      0.758      0.814      0.787      0.871 
All:         74    0.92505       4649       1049         41        124      0.106      0.752      0.814      0.784      0.866 
Test:         75    0.91451        930        210         10         23      0.099      0.697      0.812      0.756      0.842 
Train:         75    0.91451       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         75    0.91451       4649       1049         41        124      0.106      0.752      0.814      0.784      0.865 
Test:         76    0.89384        931        209         10         23      0.099      0.697      0.813      0.757      0.843 
Train:         76    0.89384       3722        836         30        102      0.109      0.773      0.815      0.795      0.871 
All:         76    0.89384       4650       1048         40        125      0.107      0.758      0.814      0.787      0.866 
Test:         77     0.9165        932        208         10         23      0.100      0.697      0.814      0.757      0.846 
Train:         77     0.9165       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         77     0.9165       4649       1049         41        124      0.106      0.752      0.814      0.784      0.866 
Test:         78    0.90316        939        201          9         24      0.107      0.727      0.821      0.775      0.848 
Train:         78    0.90316       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         78    0.90316       4650       1048         40        125      0.107      0.758      0.814      0.787      0.867 
Test:         79    0.90748        935        205          9         24      0.105      0.727      0.818      0.774      0.852 
Train:         79    0.90748       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         79    0.90748       4650       1048         40        125      0.107      0.758      0.814      0.787      0.868 
Test:         80    0.92146        937        203          9         24      0.106      0.727      0.819      0.775      0.853 
Train:         80    0.92146       3722        836         30        102      0.109      0.773      0.815      0.795      0.871 
All:         80    0.92146       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         81    0.90922        933        207          9         24      0.104      0.727      0.816      0.773      0.852 
Train:         81    0.90922       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
All:         81    0.90922       4650       1048         40        125      0.107      0.758      0.814      0.787      0.868 
Test:         82    0.91394        932        208          9         24      0.103      0.727      0.815      0.772      0.849 
Train:         82    0.91394       3723        835         29        103      0.110      0.780      0.816      0.799      0.872 
All:         82    0.91394       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         83    0.92948        932        208          9         24      0.103      0.727      0.815      0.772      0.846 
Train:         83    0.92948       3722        836         30        102      0.109      0.773      0.815      0.795      0.872 
All:         83    0.92948       4651       1047         39        126      0.107      0.764      0.815      0.790      0.867 
Test:         84    0.91168        929        211          9         24      0.102      0.727      0.812      0.771      0.846 
Train:         84    0.91168       3722        836         30        102      0.109      0.773      0.815      0.795      0.872 
All:         84    0.91168       4651       1047         39        126      0.107      0.764      0.815      0.790      0.867 
Test:         85     0.9066        925        215          9         24      0.100      0.727      0.809      0.769      0.845 
Train:         85     0.9066       3722        836         30        102      0.109      0.773      0.815      0.795      0.872 
All:         85     0.9066       4651       1047         39        126      0.107      0.764      0.815      0.790      0.867 
Test:         86    0.87964        930        210          9         24      0.103      0.727      0.813      0.772      0.845 
Train:         86    0.87964       3723        835         29        103      0.110      0.780      0.816      0.799      0.873 
All:         86    0.87964       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         87    0.87122        931        209          9         24      0.103      0.727      0.814      0.772      0.845 
Train:         87    0.87122       3723        835         29        103      0.110      0.780      0.816      0.799      0.873 
All:         87    0.87122       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         88    0.89921        930        210          8         25      0.106      0.758      0.814      0.787      0.845 
Train:         88    0.89921       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         88    0.89921       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         89    0.91095        927        213          8         25      0.105      0.758      0.812      0.785      0.845 
Train:         89    0.91095       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         89    0.91095       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         90    0.92742        927        213          8         25      0.105      0.758      0.812      0.785      0.844 
Train:         90    0.92742       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         90    0.92742       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         91    0.95208        925        215          9         24      0.100      0.727      0.809      0.769      0.843 
Train:         91    0.95208       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         91    0.95208       4651       1047         39        126      0.107      0.764      0.815      0.790      0.868 
Test:         92    0.89876        929        211          9         24      0.102      0.727      0.812      0.771      0.843 
Train:         92    0.89876       3723        835         29        103      0.110      0.780      0.816      0.799      0.874 
All:         92    0.89876       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         93    0.90433        929        211          9         24      0.102      0.727      0.812      0.771      0.844 
Train:         93    0.90433       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         93    0.90433       4651       1047         39        126      0.107      0.764      0.815      0.790      0.869 
Test:         94    0.91453        930        210          8         25      0.106      0.758      0.814      0.787      0.845 
Train:         94    0.91453       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         94    0.91453       4652       1046         38        127      0.108      0.770      0.815      0.793      0.868 
Test:         95    0.90818        928        212          8         25      0.105      0.758      0.812      0.786      0.846 
Train:         95    0.90818       3722        836         30        102      0.109      0.773      0.815      0.795      0.874 
All:         95    0.90818       4652       1046         38        127      0.108      0.770      0.815      0.793      0.869 
Test:         96    0.89166        935        205          8         25      0.109      0.758      0.818      0.789      0.847 
Train:         96    0.89166       3721        837         31        101      0.108      0.765      0.815      0.791      0.874 
All:         96    0.89166       4651       1047         39        126      0.107      0.764      0.815      0.790      0.869 
Test:         97    0.88916        937        203          8         25      0.110      0.758      0.820      0.790      0.848 
Train:         97    0.88916       3722        836         30        102      0.109      0.773      0.815      0.795      0.875 
All:         97    0.88916       4652       1046         38        127      0.108      0.770      0.815      0.793      0.870 
Test:         98    0.93096        940        200          8         25      0.111      0.758      0.823      0.791      0.848 
Train:         98    0.93096       3722        836         30        102      0.109      0.773      0.815      0.795      0.875 
All:         98    0.93096       4652       1046         38        127      0.108      0.770      0.815      0.793      0.870 
