# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         36    0.93022       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         37    0.93725        908        232         13         20      0.079      0.606      0.791      0.701      0.803 
Train:         37    0.93725       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         37    0.93725       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         38    0.97145        908        232         13         20      0.079      0.606      0.791      0.701      0.804 
Train:         38    0.97145       3717        841         35         97      0.103      0.735      0.813      0.775      0.861 
All:         38    0.97145       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         39    0.92316        909        231         13         20      0.080      0.606      0.792      0.702      0.803 
Train:         39    0.92316       3717        841         35         97      0.103      0.735      0.813      0.775      0.861 
All:         39    0.92316       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         40    0.95415        910        230         13         20      0.080      0.606      0.793      0.702      0.802 
Train:         40    0.95415       3717        841         35         97      0.103      0.735      0.813      0.775      0.861 
All:         40    0.95415       4642       1056         48        117      0.100      0.709      0.812      0.762      0.850 
Test:         41    0.94394        908        232         13         20      0.079      0.606      0.791      0.701      0.801 
Train:         41    0.94394       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         41    0.94394       4642       1056         48        117      0.100      0.709      0.812      0.762      0.849 
Test:         42    0.90679        910        230         13         20      0.080      0.606      0.793      0.702      0.800 
Train:         42    0.90679       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         42    0.90679       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
Test:         43    0.93456        913        227         13         20      0.081      0.606      0.795      0.703      0.800 
Train:         43    0.93456       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         43    0.93456       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
Test:         44     0.9345        913        227         13         20      0.081      0.606      0.795      0.703      0.800 
Train:         44     0.9345       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         44     0.9345       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
Test:         45    0.91504        912        228         12         21      0.084      0.636      0.795      0.718      0.800 
Train:         45    0.91504       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         45    0.91504       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
Test:         46     0.9521        912        228         12         21      0.084      0.636      0.795      0.718      0.800 
Train:         46     0.9521       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         46     0.9521       4644       1054         46        119      0.101      0.721      0.812      0.768      0.850 
Test:         47    0.93056        911        229         11         22      0.088      0.667      0.795      0.733      0.799 
Train:         47    0.93056       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
All:         47    0.93056       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
Test:         48    0.89435        911        229         11         22      0.088      0.667      0.795      0.733      0.799 
Train:         48    0.89435       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
All:         48    0.89435       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
Test:         49    0.92824        911        229         11         22      0.088      0.667      0.795      0.733      0.799 
Train:         49    0.92824       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
All:         49    0.92824       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
Test:         50     0.9077        908        232         11         22      0.087      0.667      0.793      0.732      0.801 
Train:         50     0.9077       3718        840         34         98      0.104      0.742      0.814      0.779      0.864 
All:         50     0.9077       4644       1054         46        119      0.101      0.721      0.812      0.768      0.851 
Test:         51    0.93456        907        233         11         22      0.086      0.667      0.792      0.731      0.804 
Train:         51    0.93456       3717        841         35         97      0.103      0.735      0.813      0.775      0.864 
All:         51    0.93456       4644       1054         46        119      0.101      0.721      0.812      0.768      0.852 
Test:         52    0.90759        909        231         11         22      0.087      0.667      0.794      0.732      0.804 
Train:         52    0.90759       3717        841         35         97      0.103      0.735      0.813      0.775      0.864 
All:         52    0.90759       4644       1054         46        119      0.101      0.721      0.812      0.768      0.852 
Test:         53    0.90896        908        232         11         22      0.087      0.667      0.793      0.732      0.805 
Train:         53    0.90896       3717        841         35         97      0.103      0.735      0.813      0.775      0.865 
All:         53    0.90896       4644       1054         46        119      0.101      0.721      0.812      0.768      0.853 
Test:         54    0.92774        910        230         11         22      0.087      0.667      0.795      0.732      0.806 
Train:         54    0.92774       3717        841         35         97      0.103      0.735      0.813      0.775      0.865 
All:         54    0.92774       4644       1054         46        119      0.101      0.721      0.812      0.768      0.853 
Test:         55    0.90827        910        230         11         22      0.087      0.667      0.795      0.732      0.808 
Train:         55    0.90827       3717        841         35         97      0.103      0.735      0.813      0.775      0.865 
All:         55    0.90827       4644       1054         46        119      0.101      0.721      0.812      0.768      0.854 
Test:         56    0.91683        911        229         11         22      0.088      0.667      0.795      0.733      0.809 
Train:         56    0.91683       3717        841         35         97      0.103      0.735      0.813      0.775      0.865 
All:         56    0.91683       4644       1054         46        119      0.101      0.721      0.812      0.768      0.854 
Test:         57    0.88812        906        234         11         22      0.086      0.667      0.791      0.731      0.809 
Train:         57    0.88812       3717        841         35         97      0.103      0.735      0.813      0.775      0.866 
All:         57    0.88812       4644       1054         46        119      0.101      0.721      0.812      0.768      0.854 
Test:         58    0.94011        906        234         11         22      0.086      0.667      0.791      0.731      0.808 
Train:         58    0.94011       3718        840         34         98      0.104      0.742      0.814      0.779      0.866 
All:         58    0.94011       4644       1054         46        119      0.101      0.721      0.812      0.768      0.854 
Test:         59    0.91417        906        234         11         22      0.086      0.667      0.791      0.731      0.808 
Train:         59    0.91417       3718        840         34         98      0.104      0.742      0.814      0.779      0.866 
All:         59    0.91417       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         60    0.92708        905        235         11         22      0.086      0.667      0.790      0.730      0.810 
Train:         60    0.92708       3717        841         35         97      0.103      0.735      0.813      0.775      0.866 
All:         60    0.92708       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         61    0.91286        906        234         11         22      0.086      0.667      0.791      0.731      0.811 
Train:         61    0.91286       3717        841         35         97      0.103      0.735      0.813      0.775      0.866 
All:         61    0.91286       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         62    0.89404        906        234         11         22      0.086      0.667      0.791      0.731      0.810 
Train:         62    0.89404       3717        841         35         97      0.103      0.735      0.813      0.775      0.866 
All:         62    0.89404       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         63    0.92702        906        234         11         22      0.086      0.667      0.791      0.731      0.811 
Train:         63    0.92702       3717        841         35         97      0.103      0.735      0.813      0.775      0.867 
All:         63    0.92702       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         64    0.89791        908        232         10         23      0.090      0.697      0.794      0.747      0.812 
Train:         64    0.89791       3717        841         35         97      0.103      0.735      0.813      0.775      0.867 
All:         64    0.89791       4644       1054         46        119      0.101      0.721      0.812      0.768      0.856 
Test:         65    0.90482        910        230         10         23      0.091      0.697      0.795      0.748      0.813 
Train:         65    0.90482       3717        841         35         97      0.103      0.735      0.813      0.775      0.867 
All:         65    0.90482       4645       1053         45        120      0.102      0.727      0.813      0.771      0.856 
Test:         66    0.90158        908        232         10         23      0.090      0.697      0.794      0.747      0.815 
Train:         66    0.90158       3718        840         34         98      0.104      0.742      0.814      0.779      0.867 
All:         66    0.90158       4645       1053         45        120      0.102      0.727      0.813      0.771      0.856 
Test:         67    0.91195        908        232         10         23      0.090      0.697      0.794      0.747      0.815 
Train:         67    0.91195       3718        840         34         98      0.104      0.742      0.814      0.779      0.867 
All:         67    0.91195       4646       1052         44        121      0.103      0.733      0.813      0.774      0.857 
Test:         68    0.90453        909        231         10         23      0.091      0.697      0.795      0.747      0.815 
Train:         68    0.90453       3718        840         34         98      0.104      0.742      0.814      0.779      0.868 
All:         68    0.90453       4646       1052         44        121      0.103      0.733      0.813      0.774      0.857 
Test:         69    0.93743        910        230          9         24      0.094      0.727      0.796      0.763      0.817 
Train:         69    0.93743       3718        840         34         98      0.104      0.742      0.814      0.779      0.867 
All:         69    0.93743       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
Test:         70    0.92809        911        229          9         24      0.095      0.727      0.797      0.763      0.817 
Train:         70    0.92809       3718        840         34         98      0.104      0.742      0.814      0.779      0.867 
All:         70    0.92809       4646       1052         44        121      0.103      0.733      0.813      0.774      0.857 
Test:         71    0.90993        908        232          9         24      0.094      0.727      0.795      0.762      0.816 
Train:         71    0.90993       3718        840         34         98      0.104      0.742      0.814      0.779      0.868 
All:         71    0.90993       4646       1052         44        121      0.103      0.733      0.813      0.774      0.857 
Test:         72     0.9143        909        231          9         24      0.094      0.727      0.795      0.762      0.815 
Train:         72     0.9143       3718        840         34         98      0.104      0.742      0.814      0.779      0.868 
All:         72     0.9143       4645       1053         45        120      0.102      0.727      0.813      0.771      0.857 
Test:         73    0.90638        909        231         10         23      0.091      0.697      0.795      0.747      0.816 
Train:         73    0.90638       3717        841         35         97      0.103      0.735      0.813      0.775      0.868 
All:         73    0.90638       4645       1053         45        120      0.102      0.727      0.813      0.771      0.857 
Test:         74    0.92075        910        230         10         23      0.091      0.697      0.795      0.748      0.815 
Train:         74    0.92075       3717        841         35         97      0.103      0.735      0.813      0.775      0.868 
All:         74    0.92075       4645       1053         45        120      0.102      0.727      0.813      0.771      0.857 
Test:         75    0.92845        911        229         11         22      0.088      0.667      0.795      0.733      0.814 
Train:         75    0.92845       3717        841         35         97      0.103      0.735      0.813      0.775      0.868 
All:         75    0.92845       4643       1055         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         76    0.89705        911        229         11         22      0.088      0.667      0.795      0.733      0.812 
Train:         76    0.89705       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         76    0.89705       4643       1055         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         77    0.92909        911        229         11         22      0.088      0.667      0.795      0.733      0.812 
Train:         77    0.92909       3717        841         35         97      0.103      0.735      0.813      0.775      0.868 
All:         77    0.92909       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         78    0.91246        911        229         11         22      0.088      0.667      0.795      0.733      0.812 
Train:         78    0.91246       3717        841         35         97      0.103      0.735      0.813      0.775      0.868 
All:         78    0.91246       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         79    0.89519        912        228         11         22      0.088      0.667      0.796      0.733      0.811 
Train:         79    0.89519       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         79    0.89519       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         80    0.89013        912        228         10         23      0.092      0.697      0.797      0.748      0.812 
Train:         80    0.89013       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         80    0.89013       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         81     0.9131        910        230         10         23      0.091      0.697      0.795      0.748      0.813 
Train:         81     0.9131       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         81     0.9131       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         82    0.90441        908        232         10         23      0.090      0.697      0.794      0.747      0.813 
Train:         82    0.90441       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         82    0.90441       4645       1053         45        120      0.102      0.727      0.813      0.771      0.858 
Test:         83      0.939        909        231         10         23      0.091      0.697      0.795      0.747      0.814 
Train:         83      0.939       3717        841         35         97      0.103      0.735      0.813      0.775      0.869 
All:         83      0.939       4645       1053         45        120      0.102      0.727      0.813      0.771      0.858 
Test:         84    0.89733        909        231          9         24      0.094      0.727      0.795      0.762      0.814 
Train:         84    0.89733       3717        841         35         97      0.103      0.735      0.813      0.775      0.870 
All:         84    0.89733       4645       1053         45        120      0.102      0.727      0.813      0.771      0.858 
Test:         85    0.92799        908        232          9         24      0.094      0.727      0.795      0.762      0.814 
Train:         85    0.92799       3718        840         34         98      0.104      0.742      0.814      0.779      0.870 
All:         85    0.92799       4645       1053         45        120      0.102      0.727      0.813      0.771      0.859 
Test:         86    0.89492        910        230          9         24      0.094      0.727      0.796      0.763      0.814 
Train:         86    0.89492       3718        840         34         98      0.104      0.742      0.814      0.779      0.870 
All:         86    0.89492       4645       1053         45        120      0.102      0.727      0.813      0.771      0.859 
Test:         87    0.88821        911        229          9         24      0.095      0.727      0.797      0.763      0.814 
Train:         87    0.88821       3718        840         34         98      0.104      0.742      0.814      0.779      0.870 
All:         87    0.88821       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         88    0.89675        910        230          9         24      0.094      0.727      0.796      0.763      0.814 
Train:         88    0.89675       3718        840         34         98      0.104      0.742      0.814      0.779      0.870 
All:         88    0.89675       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         89    0.90937        909        231          9         24      0.094      0.727      0.795      0.762      0.814 
Train:         89    0.90937       3719        839         33         99      0.106      0.750      0.814      0.783      0.870 
All:         89    0.90937       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         90    0.90555        909        231          9         24      0.094      0.727      0.795      0.762      0.814 
Train:         90    0.90555       3718        840         33         99      0.105      0.750      0.814      0.783      0.871 
All:         90    0.90555       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         91    0.89345        907        233          9         24      0.093      0.727      0.794      0.761      0.815 
Train:         91    0.89345       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
All:         91    0.89345       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
Test:         92    0.90756        908        232          9         24      0.094      0.727      0.795      0.762      0.815 
Train:         92    0.90756       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
All:         92    0.90756       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
Test:         93    0.91613        907        233          9         24      0.093      0.727      0.794      0.761      0.815 
Train:         93    0.91613       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
All:         93    0.91613       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
Test:         94    0.88738        908        232          9         24      0.094      0.727      0.795      0.762      0.815 
Train:         94    0.88738       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:         94    0.88738       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
Test:         95    0.91289        907        233          9         24      0.093      0.727      0.794      0.761      0.816 
Train:         95    0.91289       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:         95    0.91289       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
Test:         96     0.8961        911        229          8         25      0.098      0.758      0.798      0.778      0.816 
Train:         96     0.8961       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
All:         96     0.8961       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
Test:         97    0.90102        908        232          8         25      0.097      0.758      0.795      0.777      0.816 
Train:         97    0.90102       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:         97    0.90102       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:         98    0.89306        906        234          8         25      0.097      0.758      0.794      0.776      0.816 
Train:         98    0.89306       3720        838         32        100      0.107      0.758      0.814      0.787      0.873 
All:         98    0.89306       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
Test:         99    0.91358        906        234          8         25      0.097      0.758      0.794      0.776      0.816 
Train:         99    0.91358       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:         99    0.91358       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
Test:        100    0.91477        910        230          8         25      0.098      0.758      0.797      0.778      0.817 
Train:        100    0.91477       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
All:        100    0.91477       4649       1049         41        124      0.106      0.752      0.814      0.784      0.861 
