# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         37     1.1133       4640       1058         50        115      0.098      0.697      0.811      0.756      0.838 
Test:         38     1.1356        922        218          5         28      0.114      0.848      0.810      0.829      0.878 
Train:         38     1.1356       3707        851         45         87      0.093      0.659      0.809      0.736      0.828 
All:         38     1.1356       4640       1058         50        115      0.098      0.697      0.811      0.756      0.839 
Test:         39     1.1282        923        217          5         28      0.114      0.848      0.811      0.829      0.879 
Train:         39     1.1282       3707        851         45         87      0.093      0.659      0.809      0.736      0.829 
All:         39     1.1282       4640       1058         50        115      0.098      0.697      0.811      0.756      0.839 
Test:         40     1.1208        923        217          5         28      0.114      0.848      0.811      0.829      0.879 
Train:         40     1.1208       3707        851         45         87      0.093      0.659      0.809      0.736      0.829 
All:         40     1.1208       4638       1060         52        113      0.096      0.685      0.810      0.749      0.839 
Test:         41     1.0889        925        215          6         27      0.112      0.818      0.812      0.815      0.880 
Train:         41     1.0889       3707        851         45         87      0.093      0.659      0.809      0.736      0.830 
All:         41     1.0889       4638       1060         52        113      0.096      0.685      0.810      0.749      0.840 
Test:         42     1.1355        925        215          6         27      0.112      0.818      0.812      0.815      0.880 
Train:         42     1.1355       3706        852         46         86      0.092      0.652      0.809      0.732      0.831 
All:         42     1.1355       4638       1060         52        113      0.096      0.685      0.810      0.749      0.841 
Test:         43     1.1548        923        217          6         27      0.111      0.818      0.810      0.814      0.880 
Train:         43     1.1548       3707        851         45         87      0.093      0.659      0.809      0.736      0.832 
All:         43     1.1548       4639       1059         51        114      0.097      0.691      0.811      0.753      0.842 
Test:         44     1.0882        924        216          6         27      0.111      0.818      0.811      0.814      0.881 
Train:         44     1.0882       3708        850         44         88      0.094      0.667      0.809      0.740      0.833 
All:         44     1.0882       4639       1059         51        114      0.097      0.691      0.811      0.753      0.843 
Test:         45     1.1279        926        214          5         28      0.116      0.848      0.813      0.830      0.881 
Train:         45     1.1279       3709        849         43         89      0.095      0.674      0.810      0.744      0.834 
All:         45     1.1279       4641       1057         49        116      0.099      0.703      0.811      0.759      0.844 
