51433	991
51433	996
51433	1869
51433	51343
51433	9656
51433	57695
51434	701
51434	8881
51434	991
51434	996
51434	1387
51434	51343
51434	9656
51434	7316
51434	57695
284	7010
285	7010
286	84033
286	6708
51479	5868
54882	4100
23141	5516
23141	5518
57763	9759
57763	10014
57763	5993
27063	84665
29123	8841
23253	8841
88455	1956
88455	7316
81573	5729
26057	8314
26057	4100
23243	91526
23243	1173
23243	5537
23243	29110
84832	3866
84832	7186
91526	5537
91526	22870
91526	9701
91526	55291
283373	5537
23294	1956
23294	7532
203286	351
55139	351
55139	7415
8125	6418
10541	1994
10541	3836
10541	3841
11199	80153
311	10016
302	2885
302	9636
302	5111
302	6281
162	164
162	1173
162	9685
162	1956
162	2060
164	8907
164	10053
164	1174
164	8905
164	1173
164	9685
164	1213
164	1956
164	25977
164	55707
164	9135
164	11276
8906	8905
8907	1956
8907	9513
8907	23641
8907	4520
8907	10900
8907	10618
8907	92610
8907	653121
10053	163
1174	1956
160	1173
160	1956
160	2060
160	6464
161	1173
161	1213
161	1601
161	1956
161	2060
161	6464
163	1173
163	409
163	1213
163	1956
163	6453
163	26119
163	55707
163	55145
1173	1175
1173	613
1173	55589
1173	1213
1173	1956
1173	2060
1173	58513
1173	115548
1173	3312
1173	3454
1173	4201
1173	25977
1173	55707
1173	8650
1173	85021
1173	6464
1173	85439
1173	8867
1173	203068
1175	1956
8120	409
10717	23431
23431	9179
23431	11154
317	598
317	842
317	3320
317	3308
317	331
320	351
320	3768
320	55327
321	351
321	22883
9546	351
322	334
322	351
322	51466
322	10524
323	351
323	1956
10307	351
324	324
324	8312
324	8945
324	1487
324	1495
324	1499
324	23291
324	2932
324	3728
324	22919
324	10982
324	5903
324	29966
10297	1499
327	327
327	9798
328	2033
328	4595
328	7515
51107	23385
51107	5663
51107	5664
51107	55851
51074	51074
51074	84708
51074	79873
200558	9557
200558	3981
200558	142
200558	7520
8862	4188
333	7083
333	8848
333	10813
334	3725
335	335
335	341
335	3931
338	811
338	821
338	79139
338	23197
338	7184
338	4547
338	9601
338	5885
338	7415
60489	60489
348	7804
348	4137
351	351
351	10513
351	379
351	79969
351	6790
351	60370
351	56987
351	128061
351	79169
351	127795
351	404220
351	84310
351	65265
351	257169
351	10645
351	79800
351	79140
351	80125
351	29080
351	160777
351	991
351	83879
351	5128
351	51265
351	10659
351	159686
351	79745
351	22883
351	1191
351	146225
351	84570
351	10987
351	64506
351	1410
351	1453
351	1454
351	53944
351	1495
351	1500
351	8452
351	1600
351	1662
351	8886
351	11218
351	55510
351	79039
351	57696
351	9191
351	79132
351	9787
351	1785
351	554236
351	8445
351	199221
351	1956
351	8894
351	2002
351	2037
351	2117
351	26017
351	57697
351	2257
351	27145
351	2557
351	2597
351	55303
351	29889
351	57678
351	7918
351	2932
351	79712
351	2961
351	9567
351	54801
351	9759
351	9146
