# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Train:         37     1.1778       3539        753        213        185      0.197      0.465      0.794      0.645      0.732 
All:         37     1.1778       4416        949        274        224      0.191      0.450      0.791      0.636      0.723 
Test:         38     1.1712        913        160         64         36      0.184      0.360      0.809      0.605      0.683 
Train:         38     1.1712       3538        754        214        184      0.196      0.462      0.794      0.643      0.733 
All:         38     1.1712       4416        949        274        224      0.191      0.450      0.791      0.636      0.723 
Test:         39     1.1736        916        157         64         36      0.187      0.360      0.812      0.607      0.683 
Train:         39     1.1736       3538        754        214        184      0.196      0.462      0.794      0.643      0.733 
All:         39     1.1736       4415        950        275        223      0.190      0.448      0.791      0.635      0.723 
Test:         40       1.16        918        155         64         36      0.188      0.360      0.813      0.608      0.683 
Train:         40       1.16       3539        753        213        185      0.197      0.465      0.794      0.645      0.733 
All:         40       1.16       4416        949        274        224      0.191      0.450      0.791      0.636      0.723 
Test:         41     1.1763        922        151         64         36      0.193      0.360      0.817      0.610      0.682 
Train:         41     1.1763       3539        753        213        185      0.197      0.465      0.794      0.645      0.733 
All:         41     1.1763       4416        949        274        224      0.191      0.450      0.791      0.636      0.723 
Test:         42     1.1695        921        152         64         36      0.191      0.360      0.816      0.609      0.682 
Train:         42     1.1695       3541        751        211        187      0.199      0.470      0.795      0.647      0.734 
All:         42     1.1695       4417        948        273        225      0.192      0.452      0.792      0.638      0.723 
Test:         43     1.1704        921        152         63         37      0.196      0.370      0.817      0.614      0.682 
Train:         43     1.1704       3542        750        210        188      0.200      0.472      0.795      0.649      0.734 
All:         43     1.1704       4417        948        273        225      0.192      0.452      0.792      0.638      0.724 
Test:         44     1.1668        920        153         63         37      0.195      0.370      0.816      0.614      0.681 
Train:         44     1.1668       3542        750        210        188      0.200      0.472      0.795      0.649      0.735 
All:         44     1.1668       4417        948        273        225      0.192      0.452      0.792      0.638      0.724 
Test:         45     1.1607        919        154         63         37      0.194      0.370      0.815      0.613      0.681 
Train:         45     1.1607       3542        750        210        188      0.200      0.472      0.795      0.649      0.735 
All:         45     1.1607       4418        947        272        226      0.193      0.454      0.792      0.639      0.725 
Test:         46     1.1592        917        156         63         37      0.192      0.370      0.813      0.612      0.681 
Train:         46     1.1592       3540        752        212        186      0.198      0.467      0.794      0.646      0.736 
All:         46     1.1592       4418        947        272        226      0.193      0.454      0.792      0.639      0.725 
Test:         47     1.1578        918        155         63         37      0.193      0.370      0.814      0.613      0.681 
Train:         47     1.1578       3539        753        213        185      0.197      0.465      0.794      0.645      0.737 
All:         47     1.1578       4416        949        274        224      0.191      0.450      0.791      0.636      0.726 
Test:         48     1.1645        920        153         63         37      0.195      0.370      0.816      0.614      0.682 
Train:         48     1.1645       3540        752        212        186      0.198      0.467      0.794      0.646      0.737 
All:         48     1.1645       4417        948        273        225      0.192      0.452      0.792      0.638      0.726 
Test:         49     1.1806        920        153         63         37      0.195      0.370      0.816      0.614      0.682 
Train:         49     1.1806       3540        752        212        186      0.198      0.467      0.794      0.646      0.738 
All:         49     1.1806       4418        947        272        226      0.193      0.454      0.792      0.639      0.727 
Test:         50     1.1746        919        154         63         37      0.194      0.370      0.815      0.613      0.682 
Train:         50     1.1746       3542        750        210        188      0.200      0.472      0.795      0.649      0.738 
All:         50     1.1746       4418        947        272        226      0.193      0.454      0.792      0.639      0.728 
Test:         51     1.1696        919        154         63         37      0.194      0.370      0.815      0.613      0.683 
Train:         51     1.1696       3542        750        210        188      0.200      0.472      0.795      0.649      0.740 
All:         51     1.1696       4420        945        270        228      0.194      0.458      0.793      0.641      0.728 
Test:         52     1.1558        916        157         63         37      0.191      0.370      0.812      0.612      0.683 
Train:         52     1.1558       3544        748        208        190      0.203      0.477      0.796      0.652      0.741 
All:         52     1.1558       4420        945        270        228      0.194      0.458      0.793      0.641      0.729 
Test:         53     1.1497        916        157         63         37      0.191      0.370      0.812      0.612      0.684 
Train:         53     1.1497       3545        747        207        191      0.204      0.480      0.797      0.653      0.741 
All:         53     1.1497       4422        943        268        230      0.196      0.462      0.793      0.643      0.730 
Test:         54      1.168        916        157         63         37      0.191      0.370      0.812      0.612      0.685 
Train:         54      1.168       3545        747        207        191      0.204      0.480      0.797      0.653      0.742 
All:         54      1.168       4423        942        267        231      0.197      0.464      0.794      0.644      0.731 
Test:         55     1.1559        919        154         63         37      0.194      0.370      0.815      0.613      0.688 
Train:         55     1.1559       3547        745        205        193      0.206      0.485      0.797      0.656      0.743 
All:         55     1.1559       4427        938        263        235      0.200      0.472      0.795      0.649      0.732 
Test:         56     1.1484        915        158         62         38      0.194      0.380      0.812      0.616      0.690 
Train:         56     1.1484       3551        741        201        197      0.210      0.495      0.799      0.661      0.743 
All:         56     1.1484       4427        938        263        235      0.200      0.472      0.795      0.649      0.733 
Test:         57      1.157        916        157         62         38      0.195      0.380      0.813      0.617      0.691 
Train:         57      1.157       3550        742        202        196      0.209      0.492      0.799      0.660      0.743 
All:         57      1.157       4429        936        261        237      0.202      0.476      0.796      0.651      0.733 
Test:         58     1.1584        917        156         62         38      0.196      0.380      0.814      0.617      0.691 
Train:         58     1.1584       3552        740        200        198      0.211      0.497      0.800      0.663      0.744 
All:         58     1.1584       4430        935        260        238      0.203      0.478      0.796      0.652      0.733 
Test:         59     1.1457        917        156         62         38      0.196      0.380      0.814      0.617      0.690 
Train:         59     1.1457       3551        741        201        197      0.210      0.495      0.799      0.661      0.744 
