# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:         40    0.92574       1637        415         13         23      0.053      0.639      0.795      0.718      0.806 
Train:         40    0.92574       6646       1561         32        109      0.065      0.773      0.809      0.791      0.861 
All:         40    0.92574       8303       1956         45        132      0.063      0.746      0.808      0.778      0.850 
Test:         41    0.91785       1639        413         13         23      0.053      0.639      0.796      0.719      0.805 
Train:         41    0.91785       6647       1560         31        110      0.066      0.780      0.809      0.795      0.861 
All:         41    0.91785       8303       1956         45        132      0.063      0.746      0.808      0.778      0.850 
Test:         42     0.9037       1641        411         13         23      0.053      0.639      0.797      0.719      0.805 
Train:         42     0.9037       6648       1559         30        111      0.066      0.787      0.810      0.799      0.861 
All:         42     0.9037       8305       1954         43        134      0.064      0.757      0.809      0.783      0.850 
Test:         43    0.89886       1639        413         13         23      0.053      0.639      0.796      0.719      0.806 
Train:         43    0.89886       6648       1559         30        111      0.066      0.787      0.810      0.799      0.861 
All:         43    0.89886       8304       1955         44        133      0.064      0.751      0.808      0.780      0.850 
Test:         44    0.91059       1640        412         13         23      0.053      0.639      0.796      0.719      0.806 
Train:         44    0.91059       6647       1560         31        110      0.066      0.780      0.809      0.795      0.862 
All:         44    0.91059       8304       1955         44        133      0.064      0.751      0.808      0.780      0.850 
Test:         45    0.93219       1642        410         13         23      0.053      0.639      0.797      0.720      0.807 
Train:         45    0.93219       6647       1560         31        110      0.066      0.780      0.809      0.795      0.863 
All:         45    0.93219       8304       1955         44        133      0.064      0.751      0.808      0.780      0.851 
Test:         46    0.90723       1643        409         13         23      0.053      0.639      0.798      0.720      0.807 
Train:         46    0.90723       6646       1561         32        109      0.065      0.773      0.809      0.791      0.864 
All:         46    0.90723       8303       1956         45        132      0.063      0.746      0.808      0.778      0.852 
Test:         47    0.90778       1647        405         13         23      0.054      0.639      0.800      0.721      0.808 
Train:         47    0.90778       6647       1560         31        110      0.066      0.780      0.809      0.795      0.864 
All:         47    0.90778       8304       1955         44        133      0.064      0.751      0.808      0.780      0.853 
Test:         48    0.89975       1648        404         13         23      0.054      0.639      0.800      0.721      0.807 
Train:         48    0.89975       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
All:         48    0.89975       8303       1956         45        132      0.063      0.746      0.808      0.778      0.853 
Test:         49    0.89637       1648        404         13         23      0.054      0.639      0.800      0.721      0.808 
Train:         49    0.89637       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
All:         49    0.89637       8304       1955         44        133      0.064      0.751      0.808      0.780      0.853 
Test:         50    0.90342       1645        407         13         23      0.053      0.639      0.799      0.720      0.807 
Train:         50    0.90342       6648       1559         30        111      0.066      0.787      0.810      0.799      0.865 
All:         50    0.90342       8305       1954         43        134      0.064      0.757      0.809      0.783      0.853 
Test:         51    0.90022       1644        408         13         23      0.053      0.639      0.798      0.720      0.807 
Train:         51    0.90022       6648       1559         30        111      0.066      0.787      0.810      0.799      0.865 
All:         51    0.90022       8305       1954         43        134      0.064      0.757      0.809      0.783      0.854 
Test:         52     0.9056       1640        412         13         23      0.053      0.639      0.796      0.719      0.808 
Train:         52     0.9056       6649       1558         29        112      0.067      0.794      0.810      0.802      0.866 
All:         52     0.9056       8305       1954         43        134      0.064      0.757      0.809      0.783      0.854 
Test:         53     0.8915       1640        412         12         24      0.055      0.667      0.797      0.733      0.808 
Train:         53     0.8915       6649       1558         29        112      0.067      0.794      0.810      0.802      0.866 
All:         53     0.8915       8306       1953         42        135      0.065      0.763      0.809      0.786      0.855 
Test:         54    0.89597       1641        411         12         24      0.055      0.667      0.797      0.733      0.809 
Train:         54    0.89597       6650       1557         28        113      0.068      0.801      0.810      0.806      0.867 
All:         54    0.89597       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
Test:         55    0.90195       1641        411         12         24      0.055      0.667      0.797      0.733      0.809 
Train:         55    0.90195       6651       1556         27        114      0.068      0.809      0.810      0.809      0.867 
All:         55    0.90195       8307       1952         41        136      0.065      0.768      0.809      0.789      0.855 
Test:         56    0.90049       1638        414         13         23      0.053      0.639      0.795      0.719      0.809 
Train:         56    0.90049       6650       1557         28        113      0.068      0.801      0.810      0.806      0.867 
All:         56    0.90049       8307       1952         41        136      0.065      0.768      0.809      0.789      0.855 
Test:         57    0.89915       1637        415         13         23      0.053      0.639      0.795      0.718      0.809 
Train:         57    0.89915       6650       1557         28        113      0.068      0.801      0.810      0.806      0.866 
All:         57    0.89915       8307       1952         41        136      0.065      0.768      0.809      0.789      0.855 
Test:         58    0.90119       1638        414         13         23      0.053      0.639      0.795      0.719      0.809 
Train:         58    0.90119       6650       1557         28        113      0.068      0.801      0.810      0.806      0.866 
