# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
All:         38     1.1377       8030       1791        318        297      0.142      0.483      0.798      0.650      0.747 
Test:         39     1.1435       1605        360         60         63      0.149      0.512      0.799      0.664      0.774 
Train:         39     1.1435       6423       1433        255        237      0.142      0.482      0.798      0.650      0.740 
All:         39     1.1435       8033       1788        315        300      0.144      0.488      0.798      0.653      0.747 
Test:         40     1.1339       1606        359         60         63      0.149      0.512      0.799      0.665      0.774 
Train:         40     1.1339       6423       1433        255        237      0.142      0.482      0.798      0.650      0.740 
All:         40     1.1339       8033       1788        315        300      0.144      0.488      0.798      0.653      0.747 
Test:         41     1.1403       1610        355         60         63      0.151      0.512      0.801      0.666      0.775 
Train:         41     1.1403       6423       1433        255        237      0.142      0.482      0.798      0.650      0.741 
All:         41     1.1403       8033       1788        315        300      0.144      0.488      0.798      0.653      0.748 
Test:         42      1.136       1612        353         60         63      0.151      0.512      0.802      0.666      0.776 
Train:         42      1.136       6425       1431        253        239      0.143      0.486      0.798      0.652      0.742 
All:         42      1.136       8035       1786        313        302      0.145      0.491      0.799      0.655      0.748 
Test:         43     1.1284       1605        360         60         63      0.149      0.512      0.799      0.664      0.777 
Train:         43     1.1284       6427       1429        251        241      0.144      0.490      0.799      0.654      0.742 
All:         43     1.1284       8037       1784        311        304      0.146      0.494      0.799      0.656      0.749 
Test:         44      1.137       1603        362         59         64      0.150      0.520      0.798      0.668      0.777 
Train:         44      1.137       6426       1430        252        240      0.144      0.488      0.799      0.653      0.742 
All:         44      1.137       8037       1784        311        304      0.146      0.494      0.799      0.656      0.749 
Test:         45     1.1383       1603        362         59         64      0.150      0.520      0.798      0.668      0.777 
Train:         45     1.1383       6423       1433        255        237      0.142      0.482      0.798      0.650      0.742 
All:         45     1.1383       8034       1787        314        301      0.144      0.489      0.799      0.654      0.749 
Test:         46     1.1437       1606        359         58         65      0.153      0.528      0.800      0.673      0.777 
Train:         46     1.1437       6426       1430        252        240      0.144      0.488      0.799      0.653      0.742 
All:         46     1.1437       8036       1785        312        303      0.145      0.493      0.799      0.655      0.749 
Test:         47     1.1377       1603        362         56         67      0.156      0.545      0.800      0.680      0.776 
Train:         47     1.1377       6424       1432        254        238      0.143      0.484      0.798      0.651      0.742 
All:         47     1.1377       8037       1784        311        304      0.146      0.494      0.799      0.656      0.749 
Test:         48     1.1351       1601        364         56         67      0.155      0.545      0.799      0.680      0.777 
Train:         48     1.1351       6424       1432        254        238      0.143      0.484      0.798      0.651      0.742 
All:         48     1.1351       8037       1784        311        304      0.146      0.494      0.799      0.656      0.749 
Test:         49      1.138       1604        361         56         67      0.157      0.545      0.800      0.681      0.777 
Train:         49      1.138       6425       1431        253        239      0.143      0.486      0.798      0.652      0.742 
All:         49      1.138       8038       1783        310        305      0.146      0.496      0.799      0.657      0.750 
Test:         50     1.1325       1604        361         56         67      0.157      0.545      0.800      0.681      0.779 
Train:         50     1.1325       6425       1431        253        239      0.143      0.486      0.798      0.652      0.743 
All:         50     1.1325       8039       1782        309        306      0.147      0.498      0.800      0.658      0.750 
Test:         51      1.138       1607        358         56         67      0.158      0.545      0.802      0.681      0.779 
Train:         51      1.138       6425       1431        253        239      0.143      0.486      0.798      0.652      0.743 
All:         51      1.138       8037       1784        311        304      0.146      0.494      0.799      0.656      0.750 
Test:         52     1.1382       1608        357         56         67      0.158      0.545      0.802      0.682      0.779 
Train:         52     1.1382       6424       1432        254        238      0.143      0.484      0.798      0.651      0.743 
All:         52     1.1382       8038       1783        310        305      0.146      0.496      0.799      0.657      0.750 
Test:         53      1.134       1611        354         56         67      0.159      0.545      0.804      0.682      0.779 
Train:         53      1.134       6426       1430        252        240      0.144      0.488      0.799      0.653      0.743 
All:         53      1.134       8040       1781        308        307      0.147      0.499      0.800      0.659      0.750 
Test:         54     1.1308       1613        352         56         67      0.160      0.545      0.805      0.683      0.780 
Train:         54     1.1308       6427       1429        251        241      0.144      0.490      0.799      0.654      0.743 
All:         54     1.1308       8041       1780        307        308      0.148      0.501      0.800      0.660      0.751 
Test:         55     1.1316       1610        355         56         67      0.159      0.545      0.803      0.682      0.780 
Train:         55     1.1316       6426       1430        252        240      0.144      0.488      0.799      0.653      0.743 
All:         55     1.1316       8039       1782        309        306      0.147      0.498      0.800      0.658      0.751 
Test:         56     1.1315       1609        356         56         67      0.158      0.545      0.803      0.682      0.780 
Train:         56     1.1315       6425       1431        253        239      0.143      0.486      0.798      0.652      0.743 
