# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Train:         56     1.0221       6506       1350        172        320      0.192      0.650      0.818      0.739      0.821 
All:         56     1.0221       8125       1696        223        392      0.188      0.637      0.816      0.732      0.813 
Test:         57     1.0081       1638        327         54         69      0.174      0.561      0.818      0.697      0.778 
Train:         57     1.0081       6506       1350        172        320      0.192      0.650      0.818      0.739      0.822 
All:         57     1.0081       8122       1699        226        389      0.186      0.633      0.816      0.730      0.813 
Test:         58     1.0022       1637        328         55         68      0.172      0.553      0.817      0.693      0.778 
Train:         58     1.0022       6510       1346        168        324      0.194      0.659      0.819      0.744      0.823 
All:         58     1.0022       8127       1694        221        394      0.189      0.641      0.817      0.734      0.814 
Test:         59     1.0186       1635        330         56         67      0.169      0.545      0.815      0.688      0.778 
Train:         59     1.0186       6511       1345        167        325      0.195      0.661      0.819      0.745      0.824 
All:         59     1.0186       8127       1694        221        394      0.189      0.641      0.817      0.734      0.815 
Test:         60    0.99852       1636        329         56         67      0.169      0.545      0.816      0.689      0.778 
Train:         60    0.99852       6511       1345        167        325      0.195      0.661      0.819      0.745      0.824 
All:         60    0.99852       8127       1694        221        394      0.189      0.641      0.817      0.734      0.815 
Test:         61     1.0115       1638        327         56         67      0.170      0.545      0.817      0.689      0.777 
Train:         61     1.0115       6513       1343        165        327      0.196      0.665      0.819      0.747      0.825 
All:         61     1.0115       8127       1694        221        394      0.189      0.641      0.817      0.734      0.815 
Test:         62     1.0081       1637        328         56         67      0.170      0.545      0.816      0.689      0.776 
Train:         62     1.0081       6513       1343        165        327      0.196      0.665      0.819      0.747      0.825 
All:         62     1.0081       8128       1693        220        395      0.189      0.642      0.817      0.735      0.815 
Test:         63     1.0027       1634        331         56         67      0.168      0.545      0.815      0.688      0.775 
Train:         63     1.0027       6512       1344        166        326      0.195      0.663      0.819      0.746      0.826 
All:         63     1.0027       8127       1694        221        394      0.189      0.641      0.817      0.734      0.815 
Test:         64     0.9923       1643        322         56         67      0.172      0.545      0.819      0.690      0.774 
Train:         64     0.9923       6513       1343        165        327      0.196      0.665      0.819      0.747      0.826 
All:         64     0.9923       8130       1691        218        397      0.190      0.646      0.817      0.737      0.816 
Test:         65     1.0159       1641        324         57         66      0.169      0.537      0.818      0.686      0.773 
Train:         65     1.0159       6513       1343        165        327      0.196      0.665      0.819      0.747      0.827 
All:         65     1.0159       8129       1692        219        396      0.190      0.644      0.817      0.736      0.816 
Test:         66     1.0061       1641        324         57         66      0.169      0.537      0.818      0.686      0.772 
Train:         66     1.0061       6513       1343        165        327      0.196      0.665      0.819      0.747      0.828 
All:         66     1.0061       8129       1692        219        396      0.190      0.644      0.817      0.736      0.817 
Test:         67     1.0193       1643        322         57         66      0.170      0.537      0.818      0.686      0.773 
Train:         67     1.0193       6515       1341        163        329      0.197      0.669      0.820      0.749      0.829 
All:         67     1.0193       8131       1690        217        398      0.191      0.647      0.817      0.738      0.818 
Test:         68    0.99252       1645        320         57         66      0.171      0.537      0.819      0.687      0.773 
Train:         68    0.99252       6514       1342        164        328      0.196      0.667      0.820      0.748      0.830 
All:         68    0.99252       8130       1691        218        397      0.190      0.646      0.817      0.737      0.819 
Test:         69    0.99425       1645        320         57         66      0.171      0.537      0.819      0.687      0.774 
Train:         69    0.99425       6515       1341        163        329      0.197      0.669      0.820      0.749      0.831 
All:         69    0.99425       8131       1690        217        398      0.191      0.647      0.817      0.738      0.820 
Test:         70    0.99316       1640        325         56         67      0.171      0.545      0.818      0.690      0.775 
Train:         70    0.99316       6517       1339        161        331      0.198      0.673      0.820      0.751      0.832 
All:         70    0.99316       8132       1689        216        399      0.191      0.649      0.817      0.738      0.821 
Test:         71    0.98258       1631        334         56         67      0.167      0.545      0.813      0.687      0.775 
Train:         71    0.98258       6515       1341        163        329      0.197      0.669      0.820      0.749      0.833 
All:         71    0.98258       8132       1689        216        399      0.191      0.649      0.817      0.738      0.821 
Test:         72    0.99582       1640        325         56         67      0.171      0.545      0.818      0.690      0.775 
Train:         72    0.99582       6516       1340        162        330      0.198      0.671      0.820      0.750      0.833 
All:         72    0.99582       8131       1690        217        398      0.191      0.647      0.817      0.738      0.822 
Test:         73     0.9764       1638        327         56         67      0.170      0.545      0.817      0.689      0.776 
Train:         73     0.9764       6515       1341        163        329      0.197      0.669      0.820      0.749      0.835 
All:         73     0.9764       8131       1690        217        398      0.191      0.647      0.817      0.738      0.823 
Test:         74     1.0009       1642        323         55         68      0.174      0.553      0.819      0.694      0.776 
Train:         74     1.0009       6516       1340        162        330      0.198      0.671      0.820      0.750      0.836 
All:         74     1.0009       8132       1689        216        399      0.191      0.649      0.817      0.738      0.824 
Test:         75    0.98313       1640        325         53         70      0.177      0.569      0.819      0.702      0.775 
Train:         75    0.98313       6516       1340        162        330      0.198      0.671      0.820      0.750      0.837 
All:         75    0.98313       8136       1685        212        403      0.193      0.655      0.818      0.742      0.825 
Test:         76    0.98588       1637        328         54         69      0.174      0.561      0.817      0.697      0.774 
Train:         76    0.98588       6516       1340        162        330      0.198      0.671      0.820      0.750      0.838 
All:         76    0.98588       8135       1686        213        402      0.193      0.654      0.818      0.741      0.826 
Test:         77    0.98735       1638        327         54         69      0.174      0.561      0.818      0.697      0.774 
Train:         77    0.98735       6515       1341        163        329      0.197      0.669      0.820      0.749      0.839 
All:         77    0.98735       8133       1688        215        400      0.192      0.650      0.818      0.739      0.826 
Test:         78    0.98625       1637        328         54         69      0.174      0.561      0.817      0.697      0.772 
Train:         78    0.98625       6515       1341        163        329      0.197      0.669      0.820      0.749      0.839 
All:         78    0.98625       8133       1688        215        400      0.192      0.650      0.818      0.739      0.826 
Test:         79    0.97461       1635        330         53         70      0.175      0.569      0.817      0.701      0.770 
Train:         79    0.97461       6519       1337        159        333      0.199      0.677      0.821      0.753      0.840 
All:         79    0.97461       8137       1684        211        404      0.193      0.657      0.818      0.743      0.826 
Test:         80     0.9746       1639        326         56         67      0.170      0.545      0.817      0.689      0.769 
Train:         80     0.9746       6520       1336        158        334      0.200      0.679      0.821      0.754      0.840 
All:         80     0.9746       8137       1684        211        404      0.193      0.657      0.818      0.743      0.826 
Test:         81    0.97297       1643        322         57         66      0.170      0.537      0.818      0.686      0.768 
Train:         81    0.97297       6521       1335        157        335      0.201      0.681      0.821      0.755      0.840 
All:         81    0.97297       8135       1686        213        402      0.193      0.654      0.818      0.741      0.826 
Test:         82    0.97668       1641        324         57         66      0.169      0.537      0.818      0.686      0.768 
Train:         82    0.97668       6520       1336        158        334      0.200      0.679      0.821      0.754      0.841 
All:         82    0.97668       8135       1686        213        402      0.193      0.654      0.818      0.741      0.826 
Test:         83    0.96951       1640        325         57         66      0.169      0.537      0.817      0.686      0.769 
Train:         83    0.96951       6520       1336        158        334      0.200      0.679      0.821      0.754      0.841 
All:         83    0.96951       8133       1688        215        400      0.192      0.650      0.818      0.739      0.826 
Test:         84    0.97968       1645        320         57         66      0.171      0.537      0.819      0.687      0.769 
Train:         84    0.97968       6520       1336        158        334      0.200      0.679      0.821      0.754      0.841 
All:         84    0.97968       8136       1685        212        403      0.193      0.655      0.818      0.742      0.827 
Test:         85    0.97858       1647        318         56         67      0.174      0.545      0.821      0.691      0.770 
Train:         85    0.97858       6520       1336        158        334      0.200      0.679      0.821      0.754      0.842 
All:         85    0.97858       8136       1685        212        403      0.193      0.655      0.818      0.742      0.828 
Test:         86    0.96965       1648        317         55         68      0.177      0.553      0.822      0.696      0.770 
Train:         86    0.96965       6521       1335        157        335      0.201      0.681      0.821      0.755      0.843 
All:         86    0.96965       8136       1685        212        403      0.193      0.655      0.818      0.742      0.829 
Test:         87    0.96394       1645        320         54         69      0.177      0.561      0.821      0.699      0.770 
Train:         87    0.96394       6520       1336        158        334      0.200      0.679      0.821      0.754      0.845 
All:         87    0.96394       8137       1684        211        404      0.193      0.657      0.818      0.743      0.830 
Test:         88    0.96309       1640        325         54         69      0.175      0.561      0.818      0.698      0.770 
Train:         88    0.96309       6521       1335        157        335      0.201      0.681      0.821      0.755      0.845 
All:         88    0.96309       8138       1683        210        405      0.194      0.659      0.819      0.744      0.830 
Test:         89    0.96729       1640        325         53         70      0.177      0.569      0.819      0.702      0.770 
Train:         89    0.96729       6523       1333        155        337      0.202      0.685      0.822      0.758      0.846 
All:         89    0.96729       8142       1679        206        409      0.196      0.665      0.819      0.747      0.831 
Test:         90    0.96585       1634        331         54         69      0.172      0.561      0.816      0.696      0.770 
Train:         90    0.96585       6525       1331        153        339      0.203      0.689      0.822      0.760      0.847 
All:         90    0.96585       8142       1679        206        409      0.196      0.665      0.819      0.747      0.831 
Test:         91    0.96382       1636        329         56         67      0.169      0.545      0.816      0.689      0.770 
Train:         91    0.96382       6524       1332        154        338      0.202      0.687      0.822      0.759      0.847 
All:         91    0.96382       8139       1682        209        406      0.194      0.660      0.819      0.744      0.831 
Test:         92    0.96622       1629        336         56         67      0.166      0.545      0.812      0.687      0.769 
Train:         92    0.96622       6523       1333        155        337      0.202      0.685      0.822      0.758      0.848 
All:         92    0.96622       8139       1682        209        406      0.194      0.660      0.819      0.744      0.832 
Test:         93    0.96305       1624        341         56         67      0.164      0.545      0.810      0.686      0.768 
Train:         93    0.96305       6521       1335        157        335      0.201      0.681      0.821      0.755      0.848 
All:         93    0.96305       8137       1684        211        404      0.193      0.657      0.818      0.743      0.832 
Test:         94    0.96874       1629        336         56         67      0.166      0.545      0.812      0.687      0.767 
Train:         94    0.96874       6521       1335        157        335      0.201      0.681      0.821      0.755      0.849 
All:         94    0.96874       8136       1685        212        403      0.193      0.655      0.818      0.742      0.832 
Test:         95    0.96949       1628        337         56         67      0.166      0.545      0.812      0.687      0.767 
Train:         95    0.96949       6522       1334        156        336      0.201      0.683      0.822      0.757      0.849 
All:         95    0.96949       8136       1685        212        403      0.193      0.655      0.818      0.742      0.833 
Test:         96    0.95576       1632        333         57         66      0.165      0.537      0.813      0.684      0.768 
Train:         96    0.95576       6523       1333        155        337      0.202      0.685      0.822      0.758      0.850 
All:         96    0.95576       8137       1684        211        404      0.193      0.657      0.818      0.743      0.833 
Test:         97    0.95459       1634        331         56         67      0.168      0.545      0.815      0.688      0.768 
Train:         97    0.95459       6525       1331        153        339      0.203      0.689      0.822      0.760      0.850 
All:         97    0.95459       8142       1679        206        409      0.196      0.665      0.819      0.747      0.834 
Test:         98    0.96307       1635        330         55         68      0.171      0.553      0.816      0.692      0.768 
Train:         98    0.96307       6524       1332        154        338      0.202      0.687      0.822      0.759      0.851 
All:         98    0.96307       8141       1680        207        408      0.195      0.663      0.819      0.746      0.834 
Test:         99    0.95672       1641        324         57         66      0.169      0.537      0.818      0.686      0.767 
